LE,HLE,param1,param2,dLE,WTP,WTP_1y
72.98,72.97,0.5892235793816811,0.0004053788257109105,-17.491841574,-2.4829119121179944e6,141946.8557163594
72.99,72.98,0.5886521623608747,0.00040515246670313164,-17.5088714249,-2.484809677846039e6,141917.1811560796
73.0,72.99,0.5880813011223821,0.0004049262415932047,-17.5259177662,-2.48670882406853e6,141887.50952970507
73.01,73.0,0.5875109951227128,0.0004047001502939168,-17.5429806139,-2.488609351815123e6,141857.8408416697
73.02,73.01,0.5869412438189118,0.00040447419271805564,-17.5600599837,-2.490511262114265e6,141828.1750988359
73.03,73.02,0.5863720466685574,0.0004042483687811771,-17.577155892,-2.492414555997834e6,141798.51230267703
73.04,73.03,0.5858034031297661,0.00040402267839579194,-17.5942683545,-2.494319234492844e6,141768.8524601186
73.05,73.04,0.5852353126611876,0.00040379712147662554,-17.6113973873,-2.4962252986390553e6,141739.19557565282
73.06,73.05,0.5846677747220098,0.00040357169793563493,-17.6285430064,-2.498132749461504e6,141709.54165381467
73.07,73.06,0.5841007887719508,0.0004033464076880991,-17.645705228,-2.5000415879990202e6,141679.89069838836
73.08,73.07,0.5835343542712618,0.0004031212506476362,-17.6628840678,-2.5019518152871956e6,141650.2427170619
73.09,73.08,0.5829684706807318,0.0004028962267273105,-17.6800795423,-2.503863432358198e6,141620.59771098013
73.1,73.09,0.5824031374616752,0.00040267133584267833,-17.6972916673,-2.505776440249292e6,141590.95568726578
73.11,73.1,0.5818383540759433,0.0004024465779084649,-17.7145204591,-2.507690840000146e6,141561.31664924286
73.12,73.11,0.5812741199859183,0.0004022219528360733,-17.7317659337,-2.5096066326452424e6,141531.68060241675
73.13,73.12,0.580710434654511,0.00040199746054133675,-17.7490281073,-2.511523819225452e6,141502.0475511269
73.14,73.13,0.5801472975451626,0.00040177310093981116,-17.766306996,-2.513442400780581e6,141472.41750052336
73.15,73.14,0.5795847081218445,0.0004015488739451147,-17.783602616,-2.5153623783531543e6,141442.79045518424
73.16,73.15,0.5790226658490607,0.00040132477947086534,-17.8009149835,-2.5172837529815566e6,141413.16641952808
73.17,73.16,0.5784611701918384,0.00040110081743178854,-17.8182441146,-2.519206525707821e6,141383.5453990453
73.18,73.17,0.577900220615736,0.0004008769877415023,-17.8355900257,-2.5211306975788325e6,141353.92739718937
73.19,73.18,0.5773398165868373,0.00040065329031715487,-17.8529527329,-2.5230562696346673e6,141324.3124194855
73.2,73.19,0.5767799575717565,0.000400429725072295,-17.8703322525,-2.5249832429234837e6,141294.7004703982
73.21,73.2,0.5762206430376322,0.00040020629192005617,-17.8877286008,-2.5269116184883947e6,141265.09155418328
73.22,73.21,0.5756618724521263,0.00039998299077827855,-17.905141794,-2.5288413973766156e6,141235.48567618875
73.23,73.22,0.5751036452834326,0.0003997598215589191,-17.9225718484,-2.5307725806383607e6,141205.88284121122
